#10_lat,#10_lon,#26,#27,#28,#29,#30
35.808850,140.099230,6.6,-7.1,0.5,-2.1,
35.807335,140.080001,7.3,-7.9,1.7,-1.3,
35.796514,140.060314,9.1,-7.3,1.7,-0.4,
35.782207,140.045483,7.5,-5.3,0.6,1.2,
35.768229,140.023937,7.7,-5.4,-0.3,1.5,
35.719758,140.233447,-0.4,-4.2,-6.5,1,
35.733533,140.197534,4.3,-4.3,-3.7,4.4,
35.734620,140.179059,4.6,-3.2,-5.6,5,
35.718513,140.144647,4.1,-2.1,-4.9,4,
35.750954,140.297124,-1.8,-6.6,-8.5,-0.7,
35.741124,140.281454,1.3,-5.7,-5.9,1.7,
35.728186,140.267433,0.5,-4.7,-5.4,2.5,
35.721232,140.253006,-2.4,-2.7,-7.7,-0.2,
35.724766,140.756415,0,6.7,-2.7,4.4,
35.736488,140.770357,2.5,4.4,-1.7,3.6,
35.744887,140.783766,4.3,2.6,-0.3,2.3,
35.738671,140.806925,1.6,2.1,-0.1,1.9,
35.732128,140.830200,-0.1,1,-0.8,0.4,
35.708766,140.616569,4.7,-2,3.5,2.3,
35.715294,140.636833,2.3,-0.6,3,4,
35.719483,140.659044,0.8,3.6,0.8,2.5,
35.721618,140.676230,2,4.7,1.4,2.9,
35.722215,140.692743,1.2,3.4,0.9,2.1,
35.721026,140.716053,-0.4,5.7,0,1.1,
35.722207,140.738075,-0.1,5.2,-1.7,3.3,
35.687433,140.522058,1.9,-2.1,2.7,5,
35.697733,140.540559,3.1,-1.6,4,0.8,
35.705733,140.560457,3.7,-2.6,4.3,1.1,
35.706026,140.578664,3.8,-3,3.6,2.2,
35.701967,140.597584,5.1,-3,4,1.8,
35.659471,140.481118,-1.2,-4.8,6,3.4,
35.667301,140.497250,0.6,-2.1,4.3,4.8,
35.677593,140.506017,0.4,-1.7,3.2,5.2,
35.600412,140.404043,1.9,-7.4,-4.3,4,
35.611782,140.418642,0.8,-9.2,-1.7,4.1,
35.624341,140.440509,-1.1,-6,0.6,7.4,
35.633983,140.451244,-0.8,-7.3,0.9,7.5,
35.647705,140.463570,-0.5,-7.4,3.4,6.5,
35.546207,140.345750,-7.5,-10.8,-5.4,-1.4,
35.562758,140.356573,-4.9,-12.7,-5.8,-0.7,
35.571459,140.370408,-5.8,-9.7,-5.5,-0.2,
35.590194,140.384846,4.1,-7.5,-6.2,0.8,
35.507685,140.309630,-8.3,-14,-5.8,-4,
35.525800,140.319981,-10.2,-13.3,-7.9,-2.5,
35.531036,140.333784,-14.8,-15.7,-13,-6.3,
35.417653,140.313511,-10.4,-11.5,-6.9,0.3,
35.425039,140.299006,-9.2,-13.1,-5.3,0.6,
35.439084,140.294612,-8.6,-11.8,0.2,7.6,
35.458103,140.298685,-6.2,-9.4,5.4,-0.3,
35.474416,140.303312,-9.8,-12.8,-4.4,-4.8,
35.489041,140.305080,-10.2,-14.1,-5.8,-9,
35.391777,140.343168,,-10.4,-6,-1.3,
35.401145,140.320299,-16.1,-16.6,-11.8,-6.8,
35.331039,140.377016,-8.4,-4.9,-6.4,5,
35.349162,140.377608,-9.8,-3.1,-7,3.8,
35.366902,140.363816,-12.5,-8.4,-8.5,0.1,
35.382799,140.358653,-11.9,-11.1,-9.4,0.5,
35.206363,140.374689,0,-0.2,0.2,-0.1,
35.223142,140.382024,0.8,-0.5,0.3,0.1,
35.237567,140.390092,0.3,-1.9,-0.2,2.1,
35.253355,140.386048,-0.9,0.3,-0.7,3.7,
35.270409,140.387718,-1.2,-0.5,-0.7,5,
